symbol,date,entry_time,exit_time,entry_price,exit_price,profit_pct,max_possible_profit,profit_left_on_table,max_loss_avoided,gain_after_loss,time_to_peak_after_loss_secs,reason,entry_hist_z,entry_vel_z,entry_accel,entry_velocity,entry_volatility_pct,exit_accel,exit_vel,exit_jerk
BCYC,2026-04-02,17:38:30,17:55:00,5.0,4.98,-0.39999999999999153,1.6000000000000014,1.999999999999993,-0.600000000000005,1.6000000000000014,7410,STOP_LOSS,8.67808521191232,10.222888252116565,0.8566340519811059,0.8584148700471711,0.15482594564749116,-2.0571461456151434,-2.0571346359622558,-2.0571415417539884
BCYC,2026-04-02,18:30:10,18:47:10,4.995,5.03,0.7007007007007036,1.7017017017017009,1.0010010010009973,0.26626626626626804,0.0,0,TARGET,13.291567346266348,13.30815979126425,11.316514833568197,11.314712916080797,0.1122436233845674,0.042285887192491545,-0.07571471798122692,0.5610856451229722
BCYC,2026-04-02,19:13:10,19:39:50,5.01,5.045,0.6986027944111804,1.397205588822361,0.6986027944111804,0.19960079840318934,0.0,0,TARGET,8.825594658544455,10.934747315449098,4.8465978786277,4.848505303431876,0.13782198790584044,0.5299056202547332,0.17523594936313502,0.08203775189810036
SMCI,2026-04-02,13:30:00,13:32:50,21.99,21.93,-0.2728512960436504,2.3419736243747185,2.6148249204183687,-0.4092769440654837,2.3419736243747185,2940,STOP_LOSS,0.0,0.0,0.0,17672.84899999903,0.1,20.353457842792523,-17.138344606984674,13.69277686288153
TSLA,2026-04-02,13:30:00,13:30:30,364.58,367.08,0.6857205551593615,0.7921992429645182,0.10647868780515668,0.06859948433815123,0.0,0,TARGET,0.0,0.0,0.0,51383.96909999253,0.1,3128.537529445606,-7537.037923614083,-427.49733177828966
AAPL,2026-04-02,13:30:00,13:30:10,253.985,253.28,-0.277575447368944,-0.25985786562199537,0.017717581746948652,-1.2815717463629834,0.0,0,STOP_LOSS,0.0,0.0,0.0,161.85000000431015,0.1,0.0,-337.42997142979686,0.0
META,2026-04-02,13:30:00,13:32:10,565.755,564.07,-0.29783210046750724,0.44630626331185363,0.7441383637793608,-1.0310646834760644,0.44630626331185363,1260,STOP_LOSS,0.0,0.0,0.0,5539.664399988913,0.1,175.85938545498283,53.14123636274243,135.6792058181071
MSTR,2026-04-01,13:30:00,13:30:50,125.96,125.6412,-0.2530962210225437,-0.17068910765321468,0.08240711336932902,-3.0327087964433104,0.0,0,STOP_LOSS,0.0,0.0,0.0,249.48280000026378,0.1,-38.85762970189002,-35.50592574523212,-46.36822811922514
BCYC,2026-04-01,13:30:00,13:30:20,4.69,4.725,0.746268656716402,9.228144989339006,8.481876332622603,0.0,0.0,0,TARGET,0.0,0.0,0.0,11.669799999999846,0.1,1.9526367346938436,-1.3815918367346836,0.0
BCYC,2026-04-01,13:53:10,14:36:00,4.86,4.9213,1.261316872427968,5.407407407407396,4.146090534979428,0.20576131687242358,0.0,0,TRAILING_STOP,10.828036184647553,11.090892270463453,31.264446449992608,30.8388838750162,0.45472824823088775,-0.25579629691125705,-0.23050925772187258,-0.24568148123550326
BCYC,2026-04-01,14:40:20,15:10:20,4.91,4.96,1.0183299389002,4.334012219959259,3.3156822810590594,-0.8146639511201635,0.0,0,TRAILING_STOP,9.844912390352674,10.293959228717021,11.586537274826421,11.41365681293486,0.4972060778755485,-0.7249764473523987,-0.837558881619044,-0.11000942105903189
BCYC,2026-04-01,15:36:40,16:10:50,5.01,5.08,1.397205588822361,2.2514970059880244,0.8542914171656635,-2.7944111776447045,0.0,0,TRAILING_STOP,11.697711849686758,11.644668140941874,5.020289656526794,5.019275858682637,0.4980773191133871,-0.012701106070530453,0.0067527651763266555,-0.04571955757178845
BCYC,2026-04-01,17:16:20,17:29:20,5.09,5.065,-0.491159135559911,0.0,0.491159135559911,-4.322200392927304,0.0,0,STOP_LOSS,10.305917497247309,10.85905759369366,5.810924487147055,5.728488782131928,0.18965670016023395,-0.5948272311877921,-0.5129319220304771,-0.5620691075248662
SMCI,2026-04-01,13:30:00,13:30:10,22.8886,22.81,-0.3434023924573873,1.7537114546105872,2.0971138470679747,-0.6929213669687087,1.7537114546105872,3130,STOP_LOSS,0.0,0.0,0.0,241.10610000000372,0.1,0.0,-87.40014285714457,0.0
NVDA,2026-04-01,13:30:00,13:30:10,176.0,175.09,-0.5170454545454526,-0.38068181818181107,0.13636363636364152,-0.5965909090909155,0.0,0,STOP_LOSS,0.0,0.0,0.0,226041.63780000948,0.1,0.0,-68183.09060000273,0.0
TSLA,2026-04-01,13:30:00,13:31:20,377.0751,375.46,-0.4283231642715313,-0.15251603725624427,0.275807127015287,-0.4893189712075929,0.0,0,STOP_LOSS,0.0,0.0,0.0,43288.70630000476,0.1,452.63391863425613,-1169.929096585745,-118.77672745379323
AMZN,2026-04-01,13:30:00,13:31:00,210.7949,210.1,-0.32965693192767864,0.04037099569296167,0.3700279276206403,-0.5573664258480675,0.04037099569296167,520,STOP_LOSS,0.0,0.0,0.0,287759.7408999978,0.1,6104.004786017693,-15300.384665044214,-2482.814794407066
META,2026-04-01,13:30:00,13:31:20,578.1,575.5548,-0.4402698495070096,1.115723923196667,1.5559937727036766,-0.4402698495070096,1.115723923196667,420,STOP_LOSS,0.0,0.0,0.0,28340.561300011886,0.1,540.4863674588205,-839.8741186471361,446.32301301637517
GOOGL,2026-04-01,13:30:00,13:31:30,291.735,290.8,-0.3204963408572856,1.198005038819478,1.5185013796767637,-0.3204963408572856,1.198005038819478,390,STOP_LOSS,0.0,0.0,0.0,188252.93850001652,0.1,1567.391356739312,-3736.285391848289,-273.9355826960873
PLTR,2026-04-01,13:30:00,13:31:50,146.88,146.495,-0.2621187363834361,0.40563725490195873,0.6677559912853948,-0.46098856209150046,0.40563725490195873,120,STOP_LOSS,0.0,0.0,0.0,25711.991599992245,0.1,99.9363968153217,-261.93439203834953,44.96424127386456
