symbol,date,entry_time,exit_time,entry_price,exit_price,profit_pct,max_possible_profit,profit_left_on_table,max_loss_avoided,gain_after_loss,time_to_peak_after_loss_secs,reason,ml_entry_prob,ml_crash_prob
BCYC,2026-04-01,16:28:40,16:28:50,5.0356,5.0356,0.0,1.7316705059973028,1.7316705059973028,-3.2885852728572473,1.7316705059973028,2270,ML_CRASH_DETECTED,0.4041077166953666,0.2708192996121824
BCYC,2026-04-01,16:29:10,16:29:20,5.04,5.04,0.0,1.6428571428571384,1.6428571428571384,-3.3730158730158712,1.6428571428571384,2240,ML_CRASH_DETECTED,0.48994599479329276,0.483267380641117
BCYC,2026-04-01,16:29:30,16:29:40,5.04,5.0381,-0.03769841269841295,1.6428571428571384,1.6805555555555514,-3.3730158730158712,1.6428571428571384,2220,ML_CRASH_DETECTED,0.560880998766109,0.4176121172630716
BCYC,2026-04-01,16:31:30,16:32:00,5.0386,5.04,0.02778549597110884,1.6710991148334866,1.6433136188623778,-3.3461675862342646,1.6710991148334866,2080,ML_CRASH_DETECTED,0.4041264353626955,0.33733947628190913
BCYC,2026-04-01,16:34:00,16:34:10,5.08,5.08,0.0,0.8425196850393647,0.8425196850393647,-4.133858267716534,0.8425196850393647,1950,ML_CRASH_DETECTED,0.507290989130096,0.40601563498354165
BCYC,2026-04-01,16:55:20,16:55:30,5.09,5.095,0.0982318271119822,0.6444007858546158,0.5461689587426336,-4.322200392927304,0.6444007858546158,670,ML_CRASH_DETECTED,0.44469057216101154,0.5208691264955329
BCYC,2026-04-01,17:01:00,17:01:10,5.1,5.1,0.0,0.4470588235294148,0.4470588235294148,-4.5098039215686185,0.4470588235294148,330,ML_CRASH_DETECTED,0.4027500726736956,0.2782475674851991
BCYC,2026-04-01,17:01:30,17:01:40,5.1,5.1,0.0,0.4470588235294148,0.4470588235294148,-4.5098039215686185,0.4470588235294148,300,ML_CRASH_DETECTED,0.42738497167568357,0.492882434524416
BCYC,2026-04-01,17:02:00,17:02:20,5.1,5.1,0.0,0.4470588235294148,0.4470588235294148,-4.5098039215686185,0.4470588235294148,260,ML_CRASH_DETECTED,0.4199292824411725,0.7095736523267058
BCYC,2026-04-01,17:07:50,17:08:10,5.1167,5.1034,-0.25993316004456174,-0.1309437723532645,0.12898938769129725,-4.821466961127284,0.0,0,ML_CRASH_DETECTED,0.4552925265697776,0.612810811203996
