symbol,date,time,price,Impact_Hist_Z,Velocity_Z,Acceleration_Z,Jerk_Z,Snap_Z,Curving_Up,Plateauing,Curving_Down,Volatility_Pct,max_profit_pct_30m,max_loss_pct_30m
MEOH,2026-03-25,18:07:40,58.6459,0.07540377643537835,-1.4377140845981515,0.4838333783011706,4.127584894766818,6.088780451969558,0.0,0.0,0.0,0.08931763506093297,0.0,-1.4509113169036467
MEOH,2026-03-25,18:07:50,58.644,2.2354083599286207,2.4480866926289018,2.4828448203067963,1.1700046396042703,-1.6351657244590148,1.0,0.0,0.0,0.0889362312428864,0.0,-1.4477184366687073
MEOH,2026-03-25,18:08:00,58.6432,-0.7695495730038342,-1.8416958839726332,-2.711818331750072,-2.983734570077887,-2.316284432614658,0.0,0.0,1.0,0.08851887521692853,0.0,-1.446374004147111
MEOH,2026-03-25,18:08:10,58.43,-2.2292501457463483,-1.4300099378739046,0.25638150593613174,1.7079238489160447,2.5926268155289995,0.0,0.0,0.0,0.09822799424727992,0.27092247133321407,-1.0867704946089303
MEOH,2026-03-25,18:08:30,58.43,-2.873206105336676,-1.1782044612017526,-0.18403756282741196,-0.3017888709404879,-0.19407194645752035,0.0,0.0,1.0,0.12061805126721585,0.27092247133321407,-1.0867704946089303
MEOH,2026-03-25,18:09:10,58.43,0.5700069063961538,1.3118345630104422,0.9637224263020109,0.5382381168712318,0.307626424621962,1.0,0.0,0.0,0.15004331964512177,0.27092247133321407,-1.0867704946089303
MEOH,2026-03-25,18:09:20,58.395,0.10601609423945596,-0.3430749712245313,-1.0761056859640397,-1.18306287987266,-0.9539925903266483,0.0,0.0,1.0,0.15535867719062835,0.3310214915660477,-1.0274852298998227
MEOH,2026-03-25,18:09:30,58.355,-1.0610849240270308,-1.2694253190970701,-0.6052831074211822,0.2729815562163482,0.8135539847726927,0.0,0.0,1.0,0.16502919781669528,0.39979436209407915,-0.9596435609630626
MEOH,2026-03-25,18:09:40,58.3856,-1.5584924177039436,-1.04628783133763,0.14348762462551096,0.4347361532026419,0.09026755455255932,0.0,0.0,0.0,0.17238679444284324,0.3471746458030749,-1.011550793346296
MEOH,2026-03-25,18:11:20,58.5883,1.776986475872442,1.5763601461494634,1.1280262110530908,0.7732080341397837,0.4840929607415714,1.0,0.0,0.0,0.22899052864708566,0.0,-1.3540246090089576
MEOH,2026-03-25,18:11:30,58.39,0.618333464201826,-0.6011002389551102,-1.4206374326942641,-1.4806029596099664,-1.258873428476218,0.0,0.0,1.0,0.23121662424729195,0.06850488097276786,-1.0190101044699416
MEOH,2026-03-25,18:12:00,58.367,-0.8857941928430384,-1.0627547713777767,-0.6452586765758206,-0.3931042698648149,-0.12756749444445087,0.0,0.0,1.0,0.23454069860208393,0.1079377045248212,-0.9800058252094431
MEOH,2026-03-25,18:12:40,58.3399,1.053626174687676,1.1628244905429705,0.5744076358120742,-0.02810803412899854,-0.41090857902575695,1.0,0.0,0.0,0.2435601229254894,0.15443975735302876,-0.93400914297076
MEOH,2026-03-25,18:12:50,58.32,-0.6391239410184018,-1.453171429684344,-1.7074515226335747,-1.330792679412256,-0.7303079810749843,0.0,0.0,1.0,0.2455248220094655,0.18861454046639134,-0.90020576131687
MEOH,2026-03-25,18:13:00,58.315,-0.0027738311597016083,0.36962496910325526,1.1882154634389086,1.681522539082365,1.6826092897610543,1.0,0.0,0.0,0.24720810608065044,0.19720483580554232,-0.8917088227728647
MEOH,2026-03-25,18:15:00,58.335,2.6572031269127385,2.778959691920924,1.8051247037065743,0.9346745736187094,0.18545489025701434,1.0,0.0,0.0,0.23118278334916553,0.16285248992885723,-0.9256878374903559
MEOH,2026-03-25,18:15:10,58.335,0.6108807824483956,-1.0127334524120395,-2.469206283070111,-2.485499941159989,-1.9209501626762533,0.0,0.0,1.0,0.2273216043351173,0.16285248992885723,-0.9256878374903559
MEOH,2026-03-25,18:17:10,58.43,1.0956248486926983,1.2615904971588112,0.8187676634292393,0.4272058153875995,0.21573104817650868,1.0,0.0,0.0,0.1309182304048644,0.0,-1.0867704946089303
MEOH,2026-03-25,18:17:20,58.43,0.32991995904052746,-0.40847134199053325,-1.0797473199184848,-1.0939142116488518,-0.8461976923946425,0.0,0.0,1.0,0.12994263785634877,0.0,-1.0867704946089303
MEOH,2026-03-25,18:17:30,58.425,-1.5249761327617977,-1.882372430956855,-0.9624314070435187,0.06627549656804664,0.6452488901947444,0.0,0.0,1.0,0.12853019697221574,0.00855798031664965,-1.0783055198972964
MEOH,2026-03-25,18:17:40,58.425,-0.7148204002896672,0.24245939377942427,1.3766957984049883,1.3505195076477121,0.7170300773639025,1.0,0.0,0.0,0.11476938794829836,0.00855798031664965,-1.0783055198972964
MEOH,2026-03-25,18:20:20,58.43,1.037919533328446,1.1078761044304415,0.726472563569929,0.4244925519304738,0.23790076128274723,1.0,0.0,0.0,0.08374939875613474,0.0,-1.0867704946089303
MEOH,2026-03-25,18:21:50,58.35,-3.716447826822775,-3.9790570068181816,-2.6755327383735508,-1.5987305988987226,-0.9080684670908968,0.0,0.0,1.0,0.07079568021722144,0.07986289631533501,-0.9511568123393311
MEOH,2026-03-25,18:22:00,58.3966,-1.1910165715370042,1.17022377921424,3.365361837332707,3.5071858374424374,2.8795220828333505,1.0,0.0,0.0,0.07065025665993543,0.0,-1.030196963521845
MEOH,2026-03-25,18:22:10,58.375,0.8906583812943695,1.6445100207313086,0.3190187091375219,-1.7787228678579607,-2.948661558858875,1.0,0.0,0.0,0.06913936360600823,0.03648822269806689,-0.9935760171306182
MEOH,2026-03-25,18:22:40,58.165,-12.995575009457644,-13.060393530410407,-12.722773268281339,-11.730918048559293,-9.681302243432109,0.0,0.0,1.0,0.08352367272535026,0.1461359924353148,-0.6361213788360653
MEOH,2026-03-25,18:22:50,58.165,-3.8909675242764803,3.6630596616694,10.346146530411342,11.952245688638735,12.273460397502909,1.0,0.0,0.0,0.09581291787408543,0.1461359924353148,-0.6361213788360653
MEOH,2026-03-25,18:23:00,58.17,0.6581997971346504,2.588408577070483,-0.6527522176722206,-6.304657955235395,-9.54525902277619,0.0,1.0,0.0,0.10584701732905656,0.13752793536186744,-0.6446621970087674
MEOH,2026-03-25,18:23:10,58.145,2.934991004277023,2.0399490512300202,-0.34030894572630394,0.17920642086384278,3.5436020904064978,0.0,1.0,0.0,0.11791212181126821,0.18058302519562622,-0.6019434173187744
MEOH,2026-03-25,18:23:20,58.09,3.6309013244271338,1.4946676194981263,-0.3518407896426073,-0.006688573466138292,-0.10159915600527872,0.0,1.0,0.0,0.1340597234079428,0.27543467033912306,-0.5078326734377718
MEOH,2026-03-25,18:23:30,58.2457,3.7593122276961513,1.3650258215285451,-0.08091215857658644,0.15554273853309236,0.08866978671580451,0.0,1.0,0.0,0.13652258454320235,0.007382519224596213,-0.7737910266337218
MEOH,2026-03-25,18:25:20,58.02,-12.501097517668962,-12.643944114396737,-11.900205114248928,-9.996768798464132,-7.010630802306685,0.0,0.0,1.0,0.24445312589320284,0.3964150293002359,-0.3877973112719776
MEOH,2026-03-25,18:25:30,58.025,-3.6900233266670175,3.7235968541217774,10.123033582115738,11.552077927479056,11.569823320705051,1.0,0.0,0.0,0.25286986602851225,0.3877638948729021,-0.3963808703145142
MEOH,2026-03-25,18:25:40,57.9801,0.5161356375123111,2.438152229042775,-0.7921070660519364,-6.236959117507758,-9.313036126480695,0.0,1.0,0.0,0.2634822248365062,0.46550454380037254,-0.3192474659408978
